课程名,学分,主讲教师,上课时间,开课院系,掉课率
英汉互译实践与技巧,2,FRANK…,2-2(全周),语言中心,17.17
英汉互译实践与技巧,2,FRANK…,2-3(全周),语言中心,33.2
快乐英语写作,2,张文霞,3-3(全周),语言中心,31.99
快乐英语写作,2,贾明舫,3-3(全周),语言中心,33.51
快乐英语写作,2,贾明舫,3-4(全周),语言中心,30.91
日本动画片视听,2,KUSAKABE…,2-2(全周),语言中心,18.33
生活日语听说,2,冯海鹰,2-3(全周),语言中心,10.93
科技英语(高级),2,王英,2-3(全周),语言中心,14.28
科技英语(高级),2,王英,2-4(全周),语言中心,15.31
科技英语(高级),2,王英,3-3(全周),语言中心,13.01
科技英语(高级),2,王英,3-4(全周),语言中心,14.48
科技英语(高级),2,王英,5-3(全周),语言中心,20.0
科技英语(高级),2,王英,5-4(全周),语言中心,11.18
英语散文创意写作,2,XUVICKI,2-4(全周),语言中心,45.33
英语散文创意写作,2,XUVICKI,2-3(全周),语言中心,39.68
英语口译入门,2,张颖,2-1(全周),语言中心,14.32
英语口译入门,2,张颖,2-4(全周),语言中心,17.9
英语口译入门,2,张颖,2-3(全周),语言中心,15.54
意大利语(第二外国语)(1),4,马晓路,3-2(全周);1-2(全周),语言中心,36.26
意大利语(第二外国语)(1),4,马晓路,3-3(全周);1-3(全周),语言中心,45.25
意大利语(第二外国语)(2),4,马晓路,3-4(全周);1-4(全周),语言中心,15.41
意大利语(第二外国语)(3),2,董丹,5-4(全周),语言中心,14.85
德语(第二外国语)(1),4,俞洁琼,3-2(全周);1-2(全周),语言中心,41.88
德语(第二外国语)(1),4,俞洁琼,3-3(全周);1-3(全周),语言中心,38.15
德语(第二外国语)(1),4,王雯鹤,5-2(全周);2-2(全周),语言中心,49.43
德语(第二外国语)(1),4,张培,3-1(全周);1-3(全周),语言中心,30.84
德语(第二外国语)(2),4,张培,3-2(全周);1-4(全周),语言中心,19.11
德语(第二外国语)(2),4,王雯鹤,5-3(全周);2-3(全周),语言中心,46.21
德语(第二外国语)(3),2,徐胤,2-2(全周),语言中心,14.78
德语(第二外国语)(4),2,李明明,4-2(全周),语言中心,14.65
俄语(第二外国语)(1),4,何红梅,4-2(全周);1-2(全周),语言中心,41.64
俄语(第二外国语)(1),4,何红梅,5-2(全周);2-2(全周),语言中心,48.81
俄语(第二外国语)(1),4,高欣,3-3(全周);1-3(全周),语言中心,32.54
俄语(第二外国语)(1),4,李宸辰,3-3(全周);5-3(全周),语言中心,40.73
俄语(第二外国语)(1),4,陈蔚青,5-2(全周);2-2(全周),语言中心,44.6
俄语(第二外国语)(1),4,陈蔚青,5-4(全周);2-4(全周),语言中心,37.28
俄语(第二外国语)(1),4,陈蔚青,5-1(全周);2-1(全周),语言中心,38.66
俄语(第二外国语)(2),4,李宸辰,3-4(全周);5-4(全周),语言中心,14.73
法语(第二外国语)(1),4,张碧思,2-1(全周);4-2(全周),语言中心,31.76
法语(第二外国语)(1),4,张碧思,2-2(全周);4-1(全周),语言中心,48.31
法语(第二外国语)(1),4,廖梦媛,3-3(全周);1-3(全周),语言中心,32.03
法语(第二外国语)(1),4,廖梦媛,3-4(全周);1-4(全周),语言中心,47.18
法语(第二外国语)(1),4,崔孟超,3-1(全周);1-3(全周),语言中心,38.68
法语(第二外国语)(1),4,崔孟超,3-2(全周);1-4(全周),语言中心,47.21
法语(第二外国语)(2),4,侯佳琪,3-2(全周);5-2(全周),语言中心,46.54
法语(第二外国语)(2),4,侯佳琪,3-4(全周);5-4(全周),语言中心,49.9
法语(第二外国语)(3),2,宋碧珺,2-3(全周),语言中心,10.93
法语(第二外国语)(4),2,宋碧珺,2-4(全周),语言中心,11.41
日语(第二外国语)(1),4,陈爱阳,3-2(全周);1-2(全周),语言中心,34.75
日语(第二外国语)(1),4,陈爱阳,3-3(全周);1-3(全周),语言中心,38.03
日语(第二外国语)(1),4,梁爽,3-3(全周);1-3(全周),语言中心,48.52
日语(第二外国语)(1),4,梁爽,3-4(全周);1-4(全周),语言中心,38.39
日语(第二外国语)(1),4,金雪梅,5-4(全周);1-4(全周),语言中心,45.12
日语(第二外国语)(1),4,冯海鹰,2-1(全周);4-1(全周),语言中心,39.31
日语(第二外国语)(1),4,王书玮,2-1(全周);4-1(全周),语言中心,46.01
日语(第二外国语)(1),4,王书玮,2-2(全周);4-2(全周),语言中心,40.45
日语(第二外国语)(1),4,王燕,5-3(全周);1-3(全周),语言中心,37.34
日语(第二外国语)(2),4,冯海鹰,2-2(全周);4-2(全周),语言中心,43.27
日语(第二外国语)(2),4,TACHIBANA…,5-3(全周);2-3(全周),语言中心,15.7
日语(第二外国语)(2),4,TACHIBANA…,5-4(全周);2-4(全周),语言中心,32.44
日语(第二外国语)(2),4,KUSAKABE…,3-2(全周);1-2(全周),语言中心,48.88
日语(第二外国语)(2),4,KUSAKABE…,3-3(全周);1-3(全周),语言中心,36.37
日语(第二外国语)(3),2,TACHIBANA…,1-3(全周),语言中心,17.38
日语(第二外国语)(3),2,TACHIBANA…,1-4(全周),语言中心,16.25
日语(第二外国语)(3),2,TACHIBANA…,5-2(全周),语言中心,13.28
日语(第二外国语)(4),2,KUSAKABE…,2-3(全周),语言中心,12.53
日语(第二外国语)(4),2,KUSAKABE…,2-4(全周),语言中心,18.75
韩国语(第二外国语)(1),4,李敏,3-2(全周);1-2(全周),语言中心,45.02
韩国语(第二外国语)(1),4,李敏,3-3(全周);1-3(全周),语言中心,13.36
韩国语(第二外国语)(1),4,李震宁,3-2(全周);1-4(全周),语言中心,31.77
葡萄牙语(第二外国语)(1),4,廖怡然,3-2(全周);1-2(全周),语言中心,32.33
葡萄牙语(第二外国语)(1),4,廖怡然,3-4(全周);1-4(全周),语言中心,48.3
阿拉伯语(第二外国语)(1),4,汪颉珉,5-2(全周);2-2(全周),语言中心,45.25
阿拉伯语(第二外国语)(1),4,向珍飚,3-4(全周);1-4(全周),语言中心,39.8
西班牙语(第二外国语)(1),4,姜歌,3-3(全周);1-3(全周),语言中心,47.44
西班牙语(第二外国语)(1),4,姜歌,3-4(全周);1-4(全周),语言中心,40.4
西班牙语(第二外国语)(1),4,韦妮斯,5-2(全周);2-2(全周),语言中心,32.5
西班牙语(第二外国语)(1),4,廖菡,3-3(全周);1-3(全周),语言中心,36.17
西班牙语(第二外国语)(2),4,韦妮斯,5-3(全周);2-3(全周),语言中心,19.09
希腊语(第二外国语)(1),4,秦烨臻,5-4(全周);2-4(全周),语言中心,46.89
阿拉伯语(第二外国语)(2),4,汪颉珉,5-4(全周);2-4(全周),语言中心,11.97
波斯语(第二外国语)(1),4,阳融寒,3-3(全周);5-3(全周),语言中心,44.1
韩国语(第二外国语)(2),4,李敏,3-4(全周);1-4(全周),语言中心,12.01
西班牙语(第二外国语)(3),2,廖菡,3-4(全周),语言中心,18.82
韩国语(第二外国语)(3),2,金成兰,4-1(全周),语言中心,15.37
英国文学的人文理解,3,YUANH…,3-4(后八周);3-3(后八周),新雅书院,18.17
物理学(3),2,吕嵘,4-1(全周),新雅书院,15.3
十九世纪英国文学与艺术,3,高瑾,2-4(全周);2-3(全周),新雅书院,19.48
风景与中国文人文化,2,李溪,4-6(全周),新雅书院,19.52
哲学的哲学,3,张伟特,4-2(全周),新雅书院,16.26
西方古典学基础(古希腊罗马文明),3,颜荻,1-2(全周),新雅书院,18.69
西方古典学基础(古希腊语),4,颜荻,4-6(全周);1-6(全周),新雅书院,19.99
国际学术写作研讨课,1,梅赐琪,7-6(6-13周),新雅书院,11.91
劳动耕读实践,2,张元哲,6-3(全周);6-4(全周),新雅书院,14.36
印度文明,3,周利群,1-6(全周),新雅书院,17.48
犹太文明,3,杨梦,3-2(全周),新雅书院,10.93
知识、观念与文学,3,冯乃希,1-4(全周);1-3(全周),新雅书院,14.96
金融学基础,2,王正位,5-2(全周),新雅书院,19.17
金融学基础,2,刘悦,3-3(全周),新雅书院,11.63
中西现代女作家经典作品研读,2,陈艳姜,3-4(后八周);3-3(后八周),新雅书院,10.41
再造世界：从空间到空间的文学和影像,2,唐克扬,3-6(前八周);1-3(前八周),新雅书院,13.99
主题研讨小课(1),1,梅赐琪,(全周),新雅书院,13.75
主题研讨小课(2),1,梅赐琪,(全周),新雅书院,16.33
主题研讨小课(2),1,梅赐琪,(全周),新雅书院,16.88
牛津-Tutorial研讨课程,1,范大邯,(6-13周),日新书院,12.97
考古发现与《史记》,3,刘国忠,3-4(全周);3-3(全周),日新书院,10.88
科技与人文研讨课,1,曹彬,"5-3(2,6,10,14-15周)",未央书院,11.06
科技与人文研讨课,1,张超,"5-3(2,6,10,14-15周)",未央书院,15.92
科技与人文研讨课,1,施嘉儒,"2-3(2,6,10,14-15周)",未央书院,12.74
科技与人文研讨课,1,刘光华,"5-3(2,6,10,14-15周)",未央书院,16.84
科技与人文研讨课,1,吴晓东,"5-3(2,6,10,14-15周)",未央书院,13.32
科技与人文研讨课,1,杨铮,"5-3(2,6,10,14-15周)",未央书院,15.31
科技与人文研讨课,1,班慧勇,"5-3(2,6,10,14-15周)",未央书院,10.85
科技与人文研讨课,1,刘欢,"5-3(2,6,10,14-15周)",未央书院,15.46
科技与人文研讨课,1,李永健,"5-3(2,6,10,14-15周)",未央书院,18.61
科技与人文研讨课,1,张文鹏,"5-3(2,6,10,14-15周)",未央书院,18.72
科技与人文研讨课,1,杨海瑞,"5-3(2,6,10,14-15周)",未央书院,13.88
科技与人文研讨课,1,朱民,"5-3(2,6,10,14-15周)",未央书院,14.32
科技与人文研讨课,1,王飞帆,"5-3(2,6,10,14-15周)",未央书院,16.99
科技与人文研讨课,1,魏韡,"5-3(2,6,10,14-15周)",未央书院,17.9
中国传统文化,2,李飞跃,3-4(全周),求真书院,19.6
德语数学经典文献阅读,4,徐胤,5-4(全周);2-4(全周),求真书院,17.95
数学史Ⅲ,2,SHING-…,1-6(全周),求真书院,19.03
音乐打造学习力～基本音乐素养，赏析与声乐演唱训练(预科),2,付林波,2-5(全周),求真书院,17.01
音乐打造学习力～声乐基础提高实践,2,付林波,2-6(全周),求真书院,12.27
初级汉语综合(预科),4,郝伟,5-5(全周);2-4(全周),求真书院,18.0
建筑设计概论(2),1,王路,1-3(前八周),建筑学院,13.35
世界建筑史纲,2,刘畅,3-1(全周),建筑学院,15.62
结构力学(1)(中文),4,李全旺,5-3(全周);2-1(全周),土木系,19.26
混凝土结构(1),3,冯鹏,4-2(全周),土木系,10.87
流体力学(1),3,伍梓,5-4(全周);5-3(全周),水利系,11.02
流体力学,4,王虹,3-2(全周);1-3(全周),水利系,14.12
工程材料,3,瞿体明,5-4(全周);5-3(全周),机械系,11.22
工程材料,3,温鹏,4-2(全周),机械系,31.06
工程材料,3,刘磊,4-2(全周),机械系,30.71
工程材料,3,史清宇,4-2(全周),机械系,33.59
工程材料,3,闫剑锋,4-2(全周),机械系,40.67
工程制图基础,3,牟鹏,4-2(全周),机械系,10.61
工程图学基础,2,黄利平,5-3(全周),机械系,40.78
工程图学基础,2,吴志军,1-3(全周),机械系,47.99
工程图学基础,2,吴志军,2-3(全周),机械系,45.14
工程图学基础,2,佟浩,3-3(全周),机械系,12.1
工程图学基础,2,黄利平,3-3(全周),机械系,34.22
工程图学基础,2,冯涓,1-2(全周),机械系,37.47
工程图学基础,2,尹文生,5-3(全周),机械系,11.91
工程图学基础,2,冯涓,5-3(全周),机械系,13.86
工程图学基础,2,冯涓,1-1(全周),机械系,14.02
工程图学基础,2,黄利平,2-3(全周),机械系,13.68
工程图学基础,2,冯涓,2-3(全周),机械系,18.59
工程图学基础,2,邵珠峰,3-3(全周),机械系,17.93
工程图学基础,2,牟鹏,2-3(全周),机械系,35.73
工程图学基础,2,黄利平,4-2(全周),机械系,12.75
机械设计基础(1),3,吴军,4-2(全周),机械系,15.5
机械设计基础(1),3,吴志军,3-4(全周);3-3(全周),机械系,11.32
机械设计基础B(3),2,刘向锋,3-4(全周),机械系,16.54
机械设计基础A(3),3,刘向锋,3-2(全周),机械系,46.86
机械设计基础A(3),3,李德才,3-2(全周),机械系,10.27
机械设计基础A(3),3,黄伟峰,3-2(全周),机械系,32.85
机械设计基础A(3),3,刘莹,3-2(全周),机械系,30.61
机械设计基础A(3),3,韩勤锴,1-2(全周),机械系,10.5
工程图学,3,田凌,4-2(全周),机械系,15.42
工程图学,3,唐晓强,1-2(全周),机械系,18.29
工程图学,3,欧阳礼亮,4-2(全周),机械系,12.32
工程图学,3,佟浩,1-2(全周),机械系,16.32
工程图学,3,解增辉,4-2(全周),机械系,15.57
工程图学,3,姜峣,1-2(全周),机械系,11.55
工程材料(英),3,常保华,1-2(全周),机械系,10.56
测试与仪器,3,臧浠凝,4-2(全周),机械系,31.28
设计与制造基础实践,2,冯涓,4-2(前八周);4-1(前八周),机械系,44.13
设计与制造基础实践,2,吴志军,4-2(前八周);4-1(前八周),机械系,44.6
设计与制造基础实践,2,刘辛军,4-2(前八周);4-1(前八周),机械系,17.76
设计与制造基础实践,2,关立文,4-2(前八周);4-1(前八周),机械系,48.24
设计与制造基础实践,2,李铁民,4-2(前八周);4-1(前八周),机械系,38.72
仪器设计技术基础,3,陈非凡,4-2(全周),精仪系,17.99
传热学基础,2,胥蕊娜,5-2(全周),能动系,14.36
能源与动力工程概论课,1,杨震,4-6(前八周),能动系,16.88
流体力学,3,张扬军,5-2(全周),车辆学院,33.5
电工与电子技术,4,刘瑛岩,3-1(前八周);1-3(全周),电机系,13.58
电工与电子技术,4,王艳丹,4-6(前八周);1-3(全周),电机系,11.59
电工与电子技术,4,罗海云,2-6(全周),电机系,47.13
电工与电子技术,4,罗海云,1-2(全周),电机系,38.45
电工与电子技术,4,罗海云,2-2(全周),电机系,11.81
电路原理,4,朱桂萍,5-2(全周);2-2(全周),电机系,18.79
电路原理,4,于歆杰,3-3(全周);5-2(全周),电机系,47.11
电路原理,4,杨颖,5-2(全周);2-2(全周),电机系,32.5
电路原理实验,1,周红,(全周),电机系,19.73
电路原理实验,1,李臻,(全周),电机系,14.31
电工技术与电子技术(2),4,王艳丹,4-1(单周);1-2(全周),电机系,14.36
电磁场,3,李世松,4-1(前八周);1-2(全周),电机系,16.37
电路原理(英),4,吴锦鹏,5-2(全周);2-2(全周),电机系,45.37
电工技术与电子技术(2),3,魏韡,2-2(全周),电机系,39.17
电工技术与电子技术(2),3,庄池杰,2-2(全周),电机系,17.4
电工技术与电子技术(1),3,张灵,1-4(全周),电机系,10.83
电路原理C,3,谢小荣,5-2(单周);2-2(全周),电机系,14.7
电路原理C,3,刘瑛岩,5-2(单周);2-2(全周),电机系,40.78
电路原理,4,朱桂萍,(全周),电机系,12.39
电子技术基础实验,1,王鹏,2-4(全周),电机系,10.25
运筹学,2,魏韡,3-4(全周),电机系,11.83
单片机和嵌入式系统,2,孙忆南,2-4(全周),电子系,14.64
数据与算法,3,李懋坤,4-2(全周),电子系,12.1
电子电路与系统基础实验(1),1,孙忆南,(全周),电子系,18.17
电子电路与系统基础实验(1),1,徐淑正,(全周),电子系,12.21
固体物理基础(英),3,盛兴,2-2(全周),电子系,16.08
离散数学(2),3,崔勇,1-4(全周);1-3(全周),计算机系,32.49
离散数学(2),3,张小平,5-2(全周),计算机系,34.93
数值分析,3,喻文健,5-2(全周),计算机系,10.02
数值分析,3,东昱晓,3-2(全周),计算机系,15.09
模拟电子技术基础,4,叶朝辉,3-2(全周);1-4(全周),自动化系,16.59
数字电子技术基础,3,王红,3-2(全周);1-3(全周),自动化系,12.36
电子技术课程设计,1,陈莉平,1-2(4-15周),自动化系,10.37
数字电子技术基础,3,李翔,3-4(全周);5-1(全周),自动化系,18.26
离散数学,3,ZHAOH…,2-2(全周),自动化系,18.02
电子技术基础,4,王红,2-4(全周);5-2(全周),自动化系,15.82
智能机器人-动力学与控制,3,赵明国,3-2(全周),自动化系,17.29
人工智能原理,2,江瑞,3-4(全周),自动化系,12.4
流体力学,4,何枫,5-3(全周);2-2(全周),航院,19.13
工程力学A,4,李晓雁,3-1(全周);1-3(全周),航院,11.01
理论力学,4,高云峰,1-1(全周);3-3(全周),航院,17.72
材料力学,3,谢惠民,5-3(单周);3-3(全周),航院,44.4
材料力学,3,赵红平,5-3(单周);3-3(全周),航院,11.33
材料力学,3,柳占立,5-3(单周);3-3(全周),航院,43.96
材料力学,4,徐志平,3-1(全周);1-3(全周),航院,18.29
材料力学,4,吴坚,3-1(全周);1-3(全周),航院,37.5
材料力学,4,张一慧,3-1(全周);1-3(全周),航院,37.96
材料力学,4,邵玥,2-2(全周);4-2(全周),航院,13.53
流体力学,3,张锡文,3-2(全周),航院,13.73
流体力学(英),4,徐海涛,5-3(全周);2-2(全周),航院,18.47
材料力学(英),4,YUANH…,3-1(全周);1-4(全周),航院,16.88
流体力学与空气动力学,5,陈海昕,2-3(全周);4-2(全周),航院,17.17
流体力学,4,许春晓,5-3(全周);2-2(全周),航院,16.18
流体力学,4,彭杰,5-3(全周);2-2(全周),航院,19.03
材料力学,4,曹艳平,3-1(全周);1-4(全周),航院,14.73
数字电路与嵌入式系统,4,曾鸣,1-1(全周);3-3(全周),工物系,48.55
数字电路与嵌入式系统,4,龚光华,1-1(全周);3-3(全周),工物系,46.01
物理化学(2),3,邓耿,5-2(全周),化工系,31.24
物理化学(2),3,陆奇,5-2(全周),化工系,18.88
物理化学(2),3,刘振东,5-2(全周),化工系,14.05
生物化学(1),3,于慧敏,4-2(全周),化工系,13.91
生物化学(2),3,陈振,4-2(全周),化工系,17.3
有机和生物化学,4,戈钧,5-3(全周);2-3(全周),化工系,14.85
工程材料,2,姚可夫,1-1(全周),材料学院,15.83
工程材料,2,朱宏伟,1-1(全周),材料学院,45.97
工程材料,2,邵洋,1-1(全周),材料学院,12.64
高等代数(2),2,张贺春,2-3(全周),数学教学中心,15.09
高等线性代数(2),4,左怀青,1-1(全周);3-3(全周),数学系,11.23
高等线性代数(2),4,邓邦明,1-1(全周);3-3(全周),数学系,48.11
高等线性代数(2),4,朱彬,3-2(全周);5-1(全周),数学系,10.42
统计学基础,2,梁恒,5-2(全周),数学教学中心,15.44
电动力学,4,王青,3-4(全周);1-3(全周),物理系,13.51
量子力学,4,郭永,3-1(全周);5-2(全周),物理系,47.18
统计力学,4,倪军,3-2(全周);5-1(全周),物理系,44.17
统计力学,4,刘东,3-2(全周);5-1(全周),物理系,19.71
量子力学(1),4,陈新,3-3(全周);5-3(全周),物理系,14.69
量子力学(1),4,徐湛,3-3(全周);5-2(全周),物理系,12.55
统计力学(2),3,吕嵘,3-1(1-12周);1-2(1-12周),物理系,16.38
基础物理学(1),5,王山鹰,1-1(全周);4-2(全周),物理系,14.31
基础物理学(1),5,蒋硕,1-6(全周);4-2(全周),物理系,18.65
基础物理学(1),5,CHENS…,1-1(全周);4-2(全周),物理系,12.38
基础物理学(2),4,陈曦,3-2(全周);5-3(全周),物理系,13.77
基础物理学(2),4,魏斌,3-2(全周);5-1(全周),物理系,32.28
基础物理学(2),4,张卫华,3-2(全周);5-1(全周),物理系,17.82
大学物理A(2),5,魏斌,5-4(全周);5-3(全周);2-4(全周),物理系,11.96
基础物理学(3),5,缪海兴,3-1(全周);1-2(全周),物理系,38.39
基础物理学(3),5,蒲以康,3-1(全周);1-2(全周),物理系,33.42
基础物理学(3),5,KIMKIH…,3-1(全周);1-2(全周),物理系,14.4
基础物理实验(13),2,郭旭波,(全周),物理系,18.37
基础物理实验(1)(PD),3,王宇航,(全周),物理系,15.86
有机化学A(1),4,罗三中,5-1(全周);2-2(全周),化学系,19.35
有机化学A(1),4,巨勇,5-1(全周);2-2(全周),化学系,15.53
有机化学A(1),4,章名田,5-1(全周);2-2(全周),化学系,49.9
有机化学A(1),4,王歆燕,5-1(全周);2-2(全周),化学系,47.35
有机化学A(1),4,陈永湘,5-1(全周);2-2(全周),化学系,10.43
有机化学实验B,1,于莹,(全周),化学系,15.64
有机化学实验B,1,于莹,(全周),化学系,11.31
有机化学实验A(2),2,梁晓,(全周),化学系,18.1
有机化学B,3,李必杰,5-2(全周),化学系,42.83
有机化学B,3,付华,5-2(全周),化学系,16.91
有机化学B,3,刘强,5-2(全周),化学系,47.91
有机化学B,3,佟硕,5-2(全周),化学系,15.41
无机及分析化学实验B,2,庄京,(全周),化学系,16.84
无机化学,2,王训,5-2(全周),化学系,17.24
物理化学实验A(2),2,孙科强,(全周),化学系,10.52
生命科学交叉创新挑战性问题研讨课(X-idea),4,郗乔然,6-2(全周);6-1(全周),生命学院,16.1
生命科学交叉创新挑战性问题研讨课(X-idea),4,郗乔然,6-2(全周);6-1(全周),生命学院,15.16
普通物理(1)(英),4,马雄峰,3-1(全周);1-2(全周),交叉信息院,12.07
抽象代数,4,邓东灵,1-4(全周);1-3(全周),交叉信息院,19.2
微积分,4,梁恒,4-2(全周);4-1(全周),经管学院,18.38
经济学原理,3,张鹏龙,1-6(全周),公管学院,10.28
习近平法治思想概论,2,屠凯,3-1(全周),法学院,18.28
马克思主义哲学史,3,王贵贤,4-6(全周),马克思主义学院,15.16
逻辑学,3,俞珺华,5-4(全周);5-3(全周),人文学院,15.9
语言学概论,3,夏俐萍,2-4(全周);2-3(全周),人文学院,11.43
数据库技术及应用,3,李秀,2-4(全周);2-3(全周),计算机系,34.43
计算机程序设计基础,3,乔林,4-2(全周),计算机系,12.8
计算机程序设计基础,3,刘洋,3-2(全周),计算机系,18.44
计算机程序设计基础,3,谌卫军,2-2(全周),计算机系,92.9
计算机程序设计基础,3,黄维通,5-2(全周),计算机系,15.56
计算机程序设计基础,3,黄维通,4-2(全周),计算机系,11.31
计算机程序设计基础,2,郑莉,2-1(全周),计算机系,13.49
计算机程序设计基础,2,郑莉,3-3(全周),计算机系,11.31
计算机程序设计基础,2,马昱春,2-3(全周),计算机系,82.92
数据结构与算法,2,马昱春,1-1(全周),计算机系,16.58
数据结构与算法,2,韩文弢,2-2(全周),计算机系,19.92
数据结构与算法,4,邓俊辉,4-6(全周);1-6(全周),计算机系,11.41
计算机文化基础A,2,李秀,1-3(前八周);3-1(前八周),计算机系,16.36
计算机文化基础A,2,李秀,1-1(前八周);2-1(前八周),计算机系,19.17
文献检索与利用(理工类),1,范凤英,2-6(前八周),图书馆,16.86
信息检索与利用(化学/化工/生物及相关学科),1,任奕,3-2(前八周),图书馆,47.16
信息检索与利用(化学/化工/生物及相关学科),1,战玉华,4-2(前八周),图书馆,15.08
工程计算机制图,2,徐千军,1-4(全周),土水学院,88.91
建筑环境测试技术,2,魏庆芃,2-1(全周),建筑技术,13.39
电子技术实验,2,秦俭,(全周),电工电子中心,18.07
离散数学(2),3,周旻,2-2(全周),软件学院,16.54
诗词曲经典研读,3,李飞跃,2-2(全周),日新书院,18.59
工程力学(1),3,马明,2-2(全周),未央书院,16.89
科研导引,1,徐芦平,5-6(双周),行健书院,18.89
固体力学基础,4,殷雅俊,4-2(全周);1-2(全周),行健书院,15.82
代数-2(H),4,单芃,5-3(全周);2-1(全周),求真书院,18.22
数学解题方法,4,CEZAR…,2-6(全周);3-6(全周),求真书院,14.1
科技创新与挑战2A,1,陈祥,5-3(1-13周);5-4(1-13周),为先书院,49.3
科技创新与挑战2A,1,马静,5-3(1-13周);5-4(1-13周),为先书院,47.93
科技创新与挑战2A,1,王琛,5-3(1-13周);5-4(1-13周),为先书院,43.22
科技创新与挑战2A,1,孙晓丹,5-3(1-13周);5-4(1-13周),为先书院,37.91
科技创新与挑战2A,1,赵明,5-3(1-13周);5-4(1-13周),为先书院,43.13
科技创新与挑战2A,1,伍晖,5-3(1-13周);5-4(1-13周),为先书院,19.0
科技创新与挑战2A,1,林涛,5-3(1-13周);5-4(1-13周),为先书院,14.6
科技创新与挑战2B,1,魏琦,5-3(1-13周);5-4(1-13周),为先书院,35.36
科技创新与挑战2B,1,冯焱颖,5-3(1-13周);5-4(1-13周),为先书院,43.39
科技创新与挑战2B,1,朱纪洪,5-3(1-13周);5-4(1-13周),为先书院,35.98
科技创新与挑战2B,1,张海涛,5-3(1-13周);5-4(1-13周),为先书院,39.45
科技创新与挑战2B,1,尉昊赟,5-3(1-13周);5-4(1-13周),为先书院,13.14
科技创新与挑战2B,1,曹良才,5-3(1-13周);5-4(1-13周),为先书院,10.39
科技创新与挑战2B,1,李黄龙,5-3(1-13周);5-4(1-13周),为先书院,45.93
科技创新与挑战2B,1,杨原牧,5-3(1-13周);5-4(1-13周),为先书院,40.92
科技创新与挑战2B,1,邢飞,5-3(1-13周);5-4(1-13周),为先书院,32.03
科技创新与挑战2B,1,马潇潇,5-3(1-13周);5-4(1-13周),为先书院,38.34
科技创新与挑战2B,1,任大海,5-3(1-13周);5-4(1-13周),为先书院,36.34
科技创新与挑战2C,1,腾轶超,"5-4(1-11,13周);5-3(1-11,13周)",为先书院,40.46
科技创新与挑战2C,1,腾轶超,"5-4(1-11,13周);5-3(1-11,13周)",为先书院,43.73
科技创新与挑战2D,1,南天翔,5-3(1-13周);5-4(1-13周),为先书院,39.67
科技创新与挑战2D,1,揭路,5-3(1-13周);5-4(1-13周),为先书院,47.02
科技创新与挑战2D,1,潘思宁,5-3(1-13周);5-4(1-13周),为先书院,48.86
科技创新与挑战2D,1,张春,5-3(1-13周);5-4(1-13周),为先书院,30.17
资源科学导论,2,曾现来,2-1(全周),秀钟书院,16.99
科研创新实践(1),2,田金平,2-6(全周),秀钟书院,15.39
气候变化原理,3,蒋靖坤,2-2(全周),秀钟书院,17.95
人文地理学导论,1,武廷海,3-2(前八周),建筑学院,16.91
工艺造型艺术,3,王青春,"5-1(1-6,9-14周);5-2(1-6,9-14周)",建筑学院,35.21
建筑力学与建筑结构,2,黄蔚欣,1-1(全周),建筑学院,10.67
风景园林设计(1),4,许愿,2-4(前八周);5-2(前八周),建筑学院,19.77
风景园林设计(2),4,邬东璠,2-4(后八周);5-2(后八周),建筑学院,14.18
风景园林设计理论,1,郑晓笛,3-2(后八周),建筑学院,14.24
建筑环境学,3,林波荣,1-4(全周);1-3(全周),建筑学院,14.38
景观地学基础,1,党安荣,3-3(后八周),建筑学院,11.64
流体力学与网络(2),3,杨旭东,3-2(全周),建筑学院,11.78
景观设计表达,1,许愿,2-6(前八周),建筑学院,11.72
风景园林工程,1,郭湧,2-2(前八周),建筑学院,17.32
区域与景观规划原理,1,庄优波,2-2(前八周),建筑学院,13.84
建筑美术(2),2,高冬,"5-2(1-6,9-10周);5-1(1-6,9-10周)",建筑学院,19.92
建筑美术(2),2,程刚,"5-2(1-6,9-10周);5-1(1-6,9-10周)",建筑学院,12.0
建筑美术(2),2,王青春,"5-4(1-6,9-10周);5-3(1-8周)",建筑学院,18.73
建筑学基础,1,朱宁,4-6(后八周),建筑学院,11.58
工程热力学,3,王宝龙,4-2(全周),建筑学院,16.64
探索自然,1,曹越,5-6(前八周),建筑学院,11.29
设计基础(3),2,朱宁,1-4(前八周);4-2(前八周),建筑学院,11.97
设计基础(3),2,韦诗誉,1-4(前八周);4-2(前八周),建筑学院,17.35
设计基础(3),2,张弘,1-4(前八周);4-2(前八周),建筑学院,15.62
设计基础(3),2,周正楠,1-4(前八周);4-2(前八周),建筑学院,10.12
设计基础(3),2,尹思谨,1-4(前八周);4-2(前八周),建筑学院,14.4
设计基础(3),2,夏晓国,1-4(前八周);4-2(前八周),建筑学院,14.83
设计基础(3),2,饶戎,1-4(前八周);4-2(前八周),建筑学院,12.96
设计基础(4),2,朱宁,1-4(后八周);4-2(后八周),建筑学院,12.78
设计基础(4),2,秦岭,1-4(后八周);4-2(后八周),建筑学院,12.99
设计基础(4),2,周正楠,1-4(后八周);1-3(后八周),建筑学院,16.44
设计基础(4),2,张昕,1-4(后八周);4-2(后八周),建筑学院,10.76
设计基础(4),2,卢向东,1-4(后八周);4-2(后八周),建筑学院,11.37
设计基础(4),2,陈瑾羲,1-4(后八周);4-2(后八周),建筑学院,15.62
