课程名,学分,主讲教师,上课时间,开课院系,掉课率
生命科学简史,2,杨扬,3-1(全周),生命学院,35.57
花卉鉴赏,2,王菁兰,1-1(全周),生命学院,39.76
花卉鉴赏,2,王菁兰,2-1(全周),生命学院,32.72
大学生物学实验,1,王洪钟,(3-13周),生命学院,17.12
趣味微生物学实验,1,麻彩萍,5-3(2-6周);5-4(2-6周),生命学院,42.24
趣味微生物学实验,1,麻彩萍,"5-4(8-10,12-13周);5-3(8-10,12-13周)",生命学院,10.38
趣味微生物学实验,1,麻彩萍,"6-4(8-9,12-14周);6-3(8-9,12-14周)",生命学院,44.95
演化-生命的源流,1,单晓昳,3-6(前八周),生命学院,30.94
动物行为学,2,张伟,2-6(全周),生命学院,36.31
植物的智慧,2,王菁兰,2-4(全周),生命学院,30.75
鸟类学导论,2,陈功,4-1(全周),生命学院,49.4
超级电子显微术与其展现的生命世界,1,李赛,2-6(前八周),生命学院,32.79
海洋学概论,3,徐芳华,1-6(全周),地学系,18.09
全球生物多样性保护,2,杨军,1-4(1-11周);1-3(1-11周),地学系,10.08
会计学原理,3,许达,3-6(全周),经管学院,13.4
保险学原理,3,王珺,1-6(全周),经管学院,10.35
技术创新管理,2,李习保,2-6(全周),经管学院,11.87
技术创新管理,2,李习保,3-6(全周),经管学院,19.5
牛鞭效应－供应链管理入门,1,陈剑,1-6(前八周),经管学院,18.55
经济博弈论,3,钟笑寒,2-6(全周),经管学院,44.39
创业管理,2,杨德林,2-6(前八周);4-6(前八周),经管学院,13.96
对策、决策与排队论,3,杨柳,4-6(全周),经管学院,15.77
创业训练营,2,杨德林,3-6(前八周);1-6(前八周),经管学院,17.29
组织行为学,2,卢舒野,2-6(全周),经管学院,10.13
领导力提升,2,曲庆,1-6(全周),经管学院,15.86
创新与人类文明,2,陈劲,3-6(前八周);1-6(前八周),经管学院,13.89
中国国情与发展,3,胡鞍钢,2-6(全周),公管学院,13.81
中国的统一与台湾问题,2,殷存毅,4-6(全周),公管学院,42.07
腐败的政治经济学,2,过勇,3-6(全周),公管学院,48.27
讲好知识的故事,2,梅赐琪,3-6(全周),公管学院,48.63
数字治理：法律、政策与实践,2,陈天昊,5-6(全周),公管学院,12.2
中美贸易争端和全球化重构,2,鞠建东,2-6(1-12周),金融学院,12.97
英语文学中的中国形象,2,孙赛茵,2-2(全周),外文系,11.35
英语文学中的中国形象,2,孙赛茵,2-4(全周),外文系,12.49
英语文学中的中国形象,2,孙赛茵,3-2(全周),外文系,17.82
英语文学中的中国形象,2,孙赛茵,3-4(全周),外文系,10.01
莎士比亚悲剧与喜剧精读,2,刘昊,2-6(全周),外文系,16.95
历史中的翻译,2,郑文博,4-2(全周),外文系,13.96
探索人类语言的奥秘,3,徐婷,2-4(全周);2-3(全周),外文系,39.6
环境文学读写,3,宋丽丽,2-2(全周),外文系,14.28
印度文明,2,姜景奎,2-6(全周),外文系,33.89
知识产权法,2,冯术杰,3-6(前八周);4-6(前八周),法学院,12.01
合同法,2,汪洋,2-6(全周),法学院,15.37
法律与神话传说,2,李平,5-6(全周),法学院,39.59
法律思维,3,刘晗,5-2(全周),法学院,43.72
法律人类学导论,3,赵晓力,5-2(全周),法学院,11.26
